Code,Name,Type,Alcohol,Px,Px Unit,Bulk Px,Bulk Unit,URL
RH56981,"The Society's Côtes-du-Rhône 2019",Red Wine,14%,£8.50,Bottle,£83,Case of 12,/shop/ProductDetail.aspx?pd=RH56981
IT31011,"The Society's Sicilian Reserve Red 2017",Red Wine,13.5%,£8.95,Bottle,£107,Case of 12,/shop/ProductDetail.aspx?pd=IT31011
RH57581,"Côtes-du-Rhône, Domaine Jaume 2019",Red Wine,14%,£8.95,Bottle,£107,Case of 12,/shop/ProductDetail.aspx?pd=RH57581
SP16181,"The Society's Rioja Crianza 2017",Red Wine,14%,£8.95,Bottle,£107,Case of 12,/shop/ProductDetail.aspx?pd=SP16181
IT30781,"Montepulciano d'Abruzzo, Vigna Corvino 2019",Red Wine,13%,£8.50,Bottle,£102,Case of 12,/shop/ProductDetail.aspx?pd=IT30781
IT30241,"The Society's Montepulciano d'Abruzzo 2019",Red Wine,13.5%,£7.95,Bottle,£80,Case of 12,/shop/ProductDetail.aspx?pd=IT30241
BJ8551,"The Society’s Beaujolais-Villages 2019",Red Wine,13.5%,£8.50,Bottle,£102,Case of 12,/shop/ProductDetail.aspx?pd=BJ8551
CL241,"The Society's Claret 2019",Red Wine,13.5%,£7.50,Bottle,£90,Case of 12,/shop/ProductDetail.aspx?pd=CL241
RH56921,"Ventoux Les Traverses, Paul Jaboulet Aîné 2019",Red Wine,14.5%,£8.95,Bottle,£107,Case of 12,/shop/ProductDetail.aspx?pd=RH56921
CE10901,"Lascar Classic Carmenère 2019",Red Wine,13%,£6.50,Bottle,£78,Case of 12,/shop/ProductDetail.aspx?pd=CE10901
IT29871,"The Society's Valpolicella Ripasso 2018",Red Wine,13.5%,£11.50,Bottle,£69,Case of 6,/shop/ProductDetail.aspx?pd=IT29871
BJ8481,"The Society's Exhibition Fleurie 2019",Red Wine,13%,£10.50,Bottle,£126,Case of 12,/shop/ProductDetail.aspx?pd=BJ8481
SP16271,"Sabina Tempranillo, Navarra 2019",Red Wine,14%,£6.50,Bottle,£39,Case of 6,/shop/ProductDetail.aspx?pd=SP16271
IT30761,"Baccolo Appassimento Rosso Veneto 2019",Red Wine,13.5%,£7.50,Bottle,£45,Case of 6,/shop/ProductDetail.aspx?pd=IT30761
CB5961,"Château Lary Tagot, Bordeaux 2018",Red Wine,14%,£8.50,Bottle,£102,Case of 12,/shop/ProductDetail.aspx?pd=CB5961
